reference	hypothesis	wer	wacc	plausibility	norm_plausibility	hallucination_like	hallucination_wacc_threshold	hallucination_plausibility_threshold	2gram_reps	3gram_reps	4gram_reps	detail_file	eval_config	perturbation	detail_row	reference_norm	hypothesis_norm	analysis_id	rank	best_train_corpus	best_train_source	best_tfidf_similarity	best_similarity_class	best_token_jaccard	best_hypothesis_token_coverage	best_train_row	best_train_path	best_train_sentence_id	best_train_text
to increase his popularity in public opinion polls the politician started a campaign	the main reason for this is because this is the center of the arctic sea in the north sea	1.3846	-0.3846	0.0356	1.0	0	-0.5358	0.3623	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	160	to increase his popularity in public opinion polls the politician started a campaign	the main reason for this is because this is the center of the arctic sea in the north sea	2392	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.30677427316205574	novel_or_generic	0.3157894736842105	0.46153846153846156	66795	common_voice_en_27647100.mp3	b12fc5b3c7febbe7937d373d3f6c45b5234b57001fec2c11cd21a84bbd9b68b6	The primary reason for this is the wintering population of Greenland barnacle goose.
after only ten months walter of brienne s signoria was cut short by conspiracy	not only in kenya but also in the world it is a rural area in the kensalab state	1.2143	-0.2143	0.016	1.0	0	-0.5358	0.3623	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	161	after only ten months walter of brienne s signoria was cut short by conspiracy	not only in kenya but also in the world it is a rural area in the kensalab state	2393	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.4228514741856162	novel_or_generic	0.2727272727272727	0.4	27201	common_voice_en_24984016.mp3	87b0662d8025d4594ca03fa2ca8b94659c9afd9720e3871aa0beaa2c8faf405a	Third person is distinguished not only in gender but also in remote-proximal level.
she was the first woman senator to die in office	the city was named for the city of st peter in the greek language for entourage and for the people	1.8	-0.8	0.0097	0.2816	0	-0.5358	0.3623	2	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	162	she was the first woman senator to die in office	the city was named for the city of st peter in the greek language for entourage and for the people	2394	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.5041326175677685	weak_overlap	0.3125	0.35714285714285715	80887	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	Possibly named for the city of Cyzicus.
the family including thomas were educated at home	the land was used by the serbs for the last ten years	1.375	-0.375	0.0181	1.0	0	-0.5358	0.3623	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	164	the family including thomas were educated at home	the land was used by the serbs for the last ten years	2395	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.4002770629168928	novel_or_generic	0.2727272727272727	0.3	118813	common_voice_en_19687004.mp3	1ee7596c1e91b3751a06e5e9bf4a4fd7f5f2d0abea1511050f095a554ce10868	The land was fertile.
bambalio refers to a tendency to stammer	the down year ahead to your academic attainment	1.1429	-0.1429	0.0009	0.1583	0	-0.5358	0.3623	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	177	bambalio refers to a tendency to stammer	the down year ahead to your academic attainment	2396	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.38735636076119273	novel_or_generic	0.2	0.25	82488	common_voice_en_25923501.mp3	02274de63aa1a6d145517133018295b53c892c2160f230bdf6f39acc8e5622e2	Return to your books.
i can work for the rest of today the boy answered	the current world economy of space is still in its early early twenties	1.1818	-0.1818	0.0071	1.0	0	-0.5358	0.3623	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	178	i can work for the rest of today the boy answered	the current world economy of space is still in its early early twenties	2397	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.3265778997494768	novel_or_generic	0.13636363636363635	0.25	109662	common_voice_en_27249364.mp3	a65a4c322ab9032a887b237502bab1c06a088e424c1c815b7170a0e47b890ad3	"In its early decades, ""Krittibas"" had a strong anti-establishment flavour to it."
the leaves are used for wrapping food and other objects	the second set of shots were again used as a countdown before the actual adbm	1.3	-0.3	0.0043	0.3518	0	-0.5358	0.3623	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	180	the leaves are used for wrapping food and other objects	the second set of shots were again used as a countdown before the actual adbm	2398	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.36571343116012867	novel_or_generic	0.15	0.21428571428571427	2405	common_voice_en_27249364.mp3	a65a4c322ab9032a887b237502bab1c06a088e424c1c815b7170a0e47b890ad3	Hundreds of shots were fired, but only Talley died.
the boy was also saddened his friend was in pursuit of his destiny	the waterway leads to the garden which is owned by the grocery office in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in	10.6154	-9.6154	0.6092	1.0	1	-0.5358	0.3623	3	3	3	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	181	the boy was also saddened his friend was in pursuit of his destiny	the waterway leads to the garden which is owned by the grocery office in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in bryant county in	2399	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.30171773607936336	novel_or_generic	0.1	0.14285714285714285	47334	common_voice_en_31426646.mp3	4a14161b3f5020761df37e42b01d273d5cd6e0b5a32df1f9fb8017755df8e6bc	Bryant was born to Luz Lebron and Oscar Bryant.
the inca built their cities with locally available materials usually including limestone or granite	the old town of st peter was named after the old town of st peter which was named after the old town of st peter	1.7143	-0.7143	0.0617	1.0	1	-0.5358	0.3623	8	7	6	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	185	the inca built their cities with locally available materials usually including limestone or granite	the old town of st peter was named after the old town of st peter which was named after the old town of st peter	2400	1	rr_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/rr/train.tsv	0.4649366386529792	weak_overlap	0.3076923076923077	0.4	71515	common_voice_en_32377196.mp3	7ce8501f9810c2438a218a06e3da82487f7fa0ae979ec9f1dc559fd81ac7fb57	All located the Old Town of Stockholm.
men play football as a crowd watches	no that was for both how the crap works	1.2857	-0.2857	0.0015	0.4402	0	-0.5358	0.3623	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	186	men play football as a crowd watches	no that was for both how the crap works	2401	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.36198235863367345	novel_or_generic	0.3076923076923077	0.4444444444444444	59517	common_voice_en_25269852.mp3	8eefec659fa22067d006cfea555d407f920e0af2b63a2eb31a2ffc3f4f49c35f	And that was how the beautiful monastery was built.
the election was notable for several firsts	the first part of the first term is known as the fourth part of the first term	2.2857	-1.2857	0.0581	1.0	1	-0.5358	0.3623	4	3	2	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	188	the election was notable for several firsts	the first part of the first term is known as the fourth part of the first term	2402	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.481023818815417	weak_overlap	0.4166666666666667	0.5555555555555556	79849	common_voice_en_22193866.mp3	5ad7aacf250ac8185d8097e4e4b5c2e6539d59879db29bb871cee05d8a5b096f	"It is the first part of the ""Hero Trilogy""."
local branches throughout slovakia were primarily engaged in public education and cultural activities	the hotel manages to raise the material for the family and the children that need it most in their life choices	1.5385	-0.5385	0.0106	1.0	1	-0.5358	0.3623	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	196	local branches throughout slovakia were primarily engaged in public education and cultural activities	the hotel manages to raise the material for the family and the children that need it most in their life choices	2403	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.25890558167778166	novel_or_generic	0.15384615384615385	0.2222222222222222	117848	common_voice_en_28401271.mp3	b9c75d9a7c05c5051d8e24b745b684cf54a5ae0d3340433ad0bdfef4fea8fe0a	Therefore, it is natural to raise the question about movement of energy.
today signature flight support services private aircraft in this area	the city was declared a capital city in america as of this day	1.1	-0.1	0.0119	1.0	0	-0.5358	0.3623	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	202	today signature flight support services private aircraft in this area	the city was declared a capital city in america as of this day	2404	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.3394814986310285	novel_or_generic	0.14285714285714285	0.16666666666666666	39284	common_voice_en_20545129.mp3	3d1b4d457473836a6996611e0e933e972b12df4fd3a46c18f1ebb57789ceed5c	Fedor was declared winner.
more recent popular titles include prime suspect the forsyte saga sherlock and downton abbey	the main point of this operation is to prevent the carbon carbonation of the carbon chain	1.0714	-0.0714	0.0225	1.0	0	-0.5358	0.3623	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	209	more recent popular titles include prime suspect the forsyte saga sherlock and downton abbey	the main point of this operation is to prevent the carbon carbonation of the carbon chain	2405	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.3756441248717617	novel_or_generic	0.3333333333333333	0.4166666666666667	108705	common_voice_en_25888522.mp3	0026a7037478148bf420e20223970e1c1f858ccb2adc690f08dbdd3ad58e8573	The meaning of cracking is the fragmentation of the carbon chain.
that application was rejected	the air competition is expected to increase in april	2.25	-1.25	0.0039	0.812	1	-0.5358	0.3623	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	210	that application was rejected	the air competition is expected to increase in april	2406	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.5294488895903803	weak_overlap	0.2857142857142857	0.4444444444444444	3262	common_voice_en_24725805.mp3	840d35a1524d7454529b44b9801bcea7bf7829845499c66eca5c3b9cf5676f3f	This is expected to increase usage of Pimisi station.
after he left school he played his club rugby for brothers old boys	the water will then be stored in a container for use in the future farming	1.0769	-0.0769	0.0171	1.0	0	-0.5358	0.3623	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	214	after he left school he played his club rugby for brothers old boys	the water will then be stored in a container for use in the future farming	2407	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.3160886143168873	novel_or_generic	0.2222222222222222	0.3076923076923077	80581	common_voice_en_19737749.mp3	21ee83e8cea6a2887e6602bf6b2038bc3d04d56edd5302082165ac0b323e4131	There is also a staircase for use in emergencies.
potato crisps are thinly sliced fried potatoes eaten as a snack	the town is named after the main fortress of the sri sri lath capital and is named after the main fortress of the sri lath capital	2.3636	-1.3636	0.0254	1.0	1	-0.5358	0.3623	10	8	6	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	217	potato crisps are thinly sliced fried potatoes eaten as a snack	the town is named after the main fortress of the sri sri lath capital and is named after the main fortress of the sri lath capital	2408	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.4804112026364641	weak_overlap	0.3333333333333333	0.4166666666666667	22482	common_voice_en_20325540.mp3	37c2b764cd7f7015c8fab8af0c9d326e28ab99fbca61d7fe11ccde949db663b1	The town is named after Kiowa Chief Satanta.
the movie white christmas also starred bing crosby and danny kaye	the first registration of the code is issued by the government of america	1.0909	-0.0909	0.0093	1.0	0	-0.5358	0.3623	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	218	the movie white christmas also starred bing crosby and danny kaye	the first registration of the code is issued by the government of america	2409	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.35880404026204027	novel_or_generic	0.26666666666666666	0.4	119044	common_voice_en_22259300.mp3	5c2f7145654e31b07bc1ded3a437f88ebb2da3467b552a7ded35d3f53adba303	Both were guaranteed by the Government of South Australia.
the staircase survives in the swan hotel in bedford	the camel is said to have survived the war as strong as it has been since its birth	1.7778	-0.7778	0.0272	1.0	1	-0.5358	0.3623	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	219	the staircase survives in the swan hotel in bedford	the camel is said to have survived the war as strong as it has been since its birth	2410	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.3398389307237508	novel_or_generic	0.17647058823529413	0.1875	38638	common_voice_en_19776800.mp3	2428792f7334f9d90ab39d47710e99d7cb18534dde367b61fbcc5b6c06267001	The second survived the war.
the amenability property has a large number of equivalent formulations	the head was initially designed as a round head with a diameter of about 18mm	1.2	-0.2	0.0221	1.0	0	-0.5358	0.3623	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	222	the amenability property has a large number of equivalent formulations	the head was initially designed as a round head with a diameter of about 18mm	2411	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.26904127315412363	novel_or_generic	0.11764705882352941	0.15384615384615385	57203	common_voice_en_19687004.mp3	1ee7596c1e91b3751a06e5e9bf4a4fd7f5f2d0abea1511050f095a554ce10868	Its first head was Anatoly Lunacharsky.
plastic surgery has become more popular	the captain said the crew was ready to leave for new zealand on december 21st	2.5	-1.5	0.0081	0.8291	1	-0.5358	0.3623	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	228	plastic surgery has become more popular	the captain said the crew was ready to leave for new zealand on december 21st	2412	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.3154874534621448	novel_or_generic	0.23529411764705882	0.2857142857142857	89447	common_voice_en_19531218.mp3	180bff6d87f3d4d8157a15fe917f2964c993300bfae72f1c3cdadd1dffaad670	The aircraft was new and the crew was experienced.
these original parts of the hospital are now administrative and social accommodation	the next stage is the reticulation stage where the epithelial cell opens and the epithelial cell leaves the cell	1.4167	-0.4167	0.0386	1.0	0	-0.5358	0.3623	2	1	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	229	these original parts of the hospital are now administrative and social accommodation	the next stage is the reticulation stage where the epithelial cell opens and the epithelial cell leaves the cell	2413	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.314543354333935	novel_or_generic	0.17647058823529413	0.2727272727272727	3440	common_voice_en_19289025.mp3	11cfd5633ba043d0140f06c345a7ece59d218e4f641e94a636114c015d892b52	The next stage for him was to conquest skies.
it was in sixpenny hundred and the lord and tenant in chief was shaftesbury abbey	the geese are a vast source of food for the marine life of the geese	1.0	0.0	0.0268	1.0	0	-0.5358	0.3623	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	233	it was in sixpenny hundred and the lord and tenant in chief was shaftesbury abbey	the geese are a vast source of food for the marine life of the geese	2414	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.31867049014315585	novel_or_generic	0.16666666666666666	0.18181818181818182	31228	common_voice_en_30608471.mp3	2a964bb57b1e703142afdc91f132a95d267e0c10e45f49514d75f49d1b7e65e0	Life of Agony
touchscreens do not provide haptic feedback	the station is named after the central station for carterville county	1.8333	-0.8333	0.0036	0.1918	0	-0.5358	0.3623	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	235	touchscreens do not provide haptic feedback	the station is named after the central station for carterville county	2415	1	rr_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/rr/train.tsv	0.45042501076882413	weak_overlap	0.3	0.3333333333333333	52726	common_voice_en_27955762.mp3	b5b80ede6c31bf272bdefd499672028808afc1b9a2f33953c80425d942907b5a	The station is staffed.
it was a tent like many at the oasis	there were reports that many of the original people who died from the war were killed in the war	2.0	-1.0	0.0418	1.0	1	-0.5358	0.3623	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	237	it was a tent like many at the oasis	there were reports that many of the original people who died from the war were killed in the war	2416	1	rr_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/rr/train.tsv	0.41077555619089456	novel_or_generic	0.2222222222222222	0.26666666666666666	49337	common_voice_en_28005266.mp3	b66fcbf21f2de215998950fda03fc9a78e3d4ba38c417c2243537bc821754beb	Several mutineers were killed in the skirmish.
fouls on the other hand can occur only while the ball is in play	the wind is now coming from the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the north east side of the north east side of the north east side of the north east side of the north east side of the north east side of the north east side	15.8571	-14.8571	0.5723	1.0	1	-0.5358	0.3623	9	10	11	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	241	fouls on the other hand can occur only while the ball is in play	the wind is now coming from the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the city centre in the north east side of the north east side of the north east side of the north east side of the north east side of the north east side of the north east side of the north east side	2417	1	rr_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/rr/train.tsv	0.5246984639571041	weak_overlap	0.35294117647058826	0.46153846153846156	30610	common_voice_en_25262520.mp3	8ea0667e651a470879644a56abaed41c70be14d00b7bcfb494134127659b192e	The main bank is on the north-east side of the ditch.
since leaving office he has also attended a number of other events of significance	the first morning of each year is called the month of the first day of christmas	1.0	0.0	0.0277	1.0	0	-0.5358	0.3623	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	242	since leaving office he has also attended a number of other events of significance	the first morning of each year is called the month of the first day of christmas	2418	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.34988987841172825	novel_or_generic	0.2222222222222222	0.36363636363636365	84500	common_voice_en_25923501.mp3	02274de63aa1a6d145517133018295b53c892c2160f230bdf6f39acc8e5622e2	There were no major incidents on the first day of the strike.
fatima the girl said averting her eyes	the two new vehicles took a fifteen year break	1.2857	-0.2857	0.0035	1.0	0	-0.5358	0.3623	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	243	fatima the girl said averting her eyes	the two new vehicles took a fifteen year break	2419	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.414604988260717	novel_or_generic	0.2	0.3333333333333333	22146	common_voice_en_22130074.mp3	59abbfa691ac2c88fbce5bbfcb476fd1d418d5ac9f7a450c3ece88d2bc07e61a	"The two new sciences interlaced, ""cell and molecular biology""."
the idol was only valid until there were four remaining contestants	the angle of incidence of the trajectory is related to the angle of incidence of the force field	1.5455	-0.5455	0.0459	1.0	1	-0.5358	0.3623	5	4	3	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	250	the idol was only valid until there were four remaining contestants	the angle of incidence of the trajectory is related to the angle of incidence of the force field	2420	1	clean	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination/base/train.tsv	0.4520278612400872	weak_overlap	0.17647058823529413	0.3	111392	common_voice_en_22142651.mp3	59dfafdac2c62ac421eeafe6abdcb4a1aa1836636d3d238e2c87b7c5939bd823	Consequently, so are the angle of refraction and the wave-vector.
the university is a member of several organizations of colleges and universities	she is officially named federal judge of the eastern palestinian council of the united states	1.0833	-0.0833	0.0087	0.3689	0	-0.5358	0.3623	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	257	the university is a member of several organizations of colleges and universities	she is officially named federal judge of the eastern palestinian council of the united states	2421	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.3091893702809265	novel_or_generic	0.21428571428571427	0.23076923076923078	12203	common_voice_en_27249364.mp3	a65a4c322ab9032a887b237502bab1c06a088e424c1c815b7170a0e47b890ad3	In the United States.
its shape and coloration is reminiscent of a brown trout	the plane took off on sunday february 6 2019 from the airport in vienna germany	1.5	-0.5	0.0077	0.667	0	-0.5358	0.3623	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	262	its shape and coloration is reminiscent of a brown trout	the plane took off on sunday february 6 2019 from the airport in vienna germany	2422	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.268519173651381	novel_or_generic	0.23809523809523808	0.35714285714285715	115518	common_voice_en_27647100.mp3	b12fc5b3c7febbe7937d373d3f6c45b5234b57001fec2c11cd21a84bbd9b68b6	In spite of these gloomy auguries the airline took off on the charge.
maybe the church with the sycamore growing from within had been haunted	the middle district is the sycamore grove and stand is the mouth of the state	1.0833	-0.0833	0.0093	1.0	0	-0.5358	0.3623	1	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	264	maybe the church with the sycamore growing from within had been haunted	the middle district is the sycamore grove and stand is the mouth of the state	2423	1	rr_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/rr/train.tsv	0.4345740537577174	novel_or_generic	0.1875	0.2727272727272727	61982	common_voice_en_39666416.mp3	c437e1a4261667762f957c6383b18084cfd779c245f3fccae3799f88c4d2da25	I sat at the mouth of the shallow cave.
she also is a faculty member at the tanglewood music center	the ship was launched on december 23 2019 from korea airport to india on december 23 2019	1.5455	-0.5455	0.008	0.6686	1	-0.5358	0.3623	3	2	1	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	267	she also is a faculty member at the tanglewood music center	the ship was launched on december 23 2019 from korea airport to india on december 23 2019	2424	1	ru_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/ru/train.tsv	0.4123268336654289	novel_or_generic	0.2	0.23076923076923078	83724	common_voice_en_25270831.mp3	8f3dc3e1c1afe8a7776b3e91742de84143bc7454daa2cf2cf9cd8f75db0a9f6b	The ship was not insured.
there are three amino acid residues responsible for this g to m phase transition	there are a few more active vessels in the fleet but this is not the end of the story for now	1.2857	-0.2857	0.0556	1.0	0	-0.5358	0.3623	0	0	0	/scratch/vemotionsys/rmfrieske/whisper_hallucination/stress_eval_64pct/details_rr_64pct_full_noise_amp0.5_dur0.0.tsv	rr_64pct	full_noise_amp0.5_dur0.0	268	there are three amino acid residues responsible for this g to m phase transition	there are a few more active vessels in the fleet but this is not the end of the story for now	2425	1	rr_64pct	/scratch/vemotionsys/rmfrieske/datasets/whisper_hallucination_64pct/rr/train.tsv	0.3225994996461168	novel_or_generic	0.19047619047619047	0.21052631578947367	31078	common_voice_en_25654816.mp3	94b7b440f118509cf1855b4ccbf1731a3e0aca6c79c66ec098aeec74e69b877a	However, this is not the case.
